operator_id,missed_calls,avg_waiting_time,avg_call_duration,outbound_calls,inbound_calls,internal_calls,total_calls_count,total_calls,missed_call_rate,outbound_activity,score_missed,score_wait,score_outbound,inefficiency_score
886892,0,58.0,72.0,0,1,False,2,1,0.0,0.0,0.0,0.12554112554112554,1.0,0.19393939393939394
887276,101,89.09574468085107,391.13475177304963,214,68,77,1340,282,0.35815602836879434,0.7588652482269503,0.35815602836879434,0.19284793220963434,0.24113475177304966,0.28274500322372664
887278,25,34.333333333333336,284.9259259259259,82,26,56,328,108,0.23148148148148148,0.7592592592592593,0.23148148148148148,0.07431457431457432,0.2407407407407407,0.17786195286195283
887280,4,3.3333333333333335,5.166666666666667,6,0,0,8,6,0.6666666666666666,1.0,0.6666666666666666,0.007215007215007215,0.0,0.33585858585858586
887282,39,132.41666666666666,184.80555555555554,51,21,4,520,72,0.5416666666666666,0.7083333333333334,0.5416666666666666,0.2866161616161616,0.29166666666666663,0.4148989898989899
887416,0,26.357142857142858,163.57142857142858,0,14,0,22,14,0.0,0.0,0.0,0.05705009276437848,1.0,0.16996753246753246
887802,22,28.43548387096774,127.06451612903226,54,8,1,138,62,0.3548387096774194,0.8709677419354839,0.3548387096774194,0.061548666387376064,0.12903225806451613,0.21831622678396873
887992,3,113.33333333333333,161.83333333333334,6,0,0,47,6,0.5,1.0,0.5,0.2453102453102453,0.0,0.33585858585858586
888406,6,25.23076923076923,56.92307692307692,6,7,0,15,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.05461205461205461,0.5384615384615384,0.33065268065268066
888520,0,18.8,231.6,0,5,0,6,5,0.0,0.0,0.0,0.0406926406926407,1.0,0.16424242424242425
888532,29,24.347826086956523,116.58695652173913,83,9,82,218,92,0.31521739130434784,0.9021739130434783,0.31521739130434784,0.05270092226613966,0.09782608695652173,0.19072793148880107
888534,30,28.949640287769785,107.07913669064749,103,36,55,292,139,0.2158273381294964,0.7410071942446043,0.2158273381294964,0.06266155906443677,0.25899280575539574,0.16869413560061042
888536,8,20.848484848484848,39.54545454545455,31,2,30,60,33,0.24242424242424243,0.9393939393939394,0.24242424242424243,0.045126590581136036,0.06060606060606055,0.1460973370064279
888538,2,16.714285714285715,131.0,6,1,4,7,7,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.036178107606679034,0.1428571428571429,0.17694805194805194
888540,5,15.222222222222221,145.16666666666666,15,3,14,20,18,0.2777777777777778,0.8333333333333334,0.2777777777777778,0.03294853294853295,0.16666666666666663,0.17542087542087542
888868,9,46.529411764705884,187.14705882352942,19,15,7,77,34,0.2647058823529412,0.5588235294117647,0.2647058823529412,0.10071301247771837,0.4411764705882353,0.2337789661319073
889410,83,85.35496183206106,306.706106870229,176,86,1,1568,262,0.31679389312977096,0.6717557251908397,0.31679389312977096,0.1847509996364958,0.3282442748091603,0.27229643765903305
889638,0,19.333333333333332,14.666666666666666,0,3,0,4,3,0.0,0.0,0.0,0.04184704184704185,1.0,0.16464646464646465
889640,0,13.5,25.0,0,2,0,2,2,0.0,0.0,0.0,0.02922077922077922,1.0,0.16022727272727272
889754,68,98.67661691542288,456.85074626865674,127,74,1,1388,201,0.3383084577114428,0.6318407960199005,0.3383084577114428,0.21358575089918372,0.3681592039800995,0.29913312226745065
890226,2,22.0,13.5,2,4,0,7,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.6666666666666667,0.2833333333333333
890228,15,39.3469387755102,134.89795918367346,43,6,2,109,49,0.30612244897959184,0.8775510204081632,0.30612244897959184,0.08516653414612597,0.12244897959183676,0.20123685837971553
890232,0,23.142857142857142,679.7142857142857,14,0,0,23,14,0.0,1.0,0.0,0.05009276437847866,0.0,0.01753246753246753
890234,0,12.0,85.0,1,0,False,1,1,0.0,1.0,0.0,0.025974025974025976,0.0,0.00909090909090909
